Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
QA_IWP2.5_Regression,Edge Chromium 128,,,28-08-2024 19:07:00,28-08-2024 21:11:32,2h - 4m - 32.507s,FAILED
,,,,,,,
Test Cases/IntegratedWeb/IWP25/Error/MaxAmountErrorCorp,Edge Chromium 128,,,28-08-2024 19:07:00,28-08-2024 19:08:57,1m - 56.316s,PASSED
"resText = ""Fail""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.006s,PASSED
"resColumn = ""Result""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.007s,PASSED
"datCloumn = ""Date""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.005s,PASSED
"fileLoc = ""KatalonData/IWPTestData/VRelay25Payments.xlsx""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.004s,PASSED
numOfRows = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.004s,PASSED
dataFile = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.002s,PASSED
nameSheet = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.003s,PASSED
dataFileEmulator = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.003s,PASSED
"nameSheet = ""MaxAmountErrorCorp""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.005s,PASSED
"dataFile = ""IWPTestData/IWP25MaxAmountErrorCorp""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.005s,PASSED
"dataFileEmulator = ""IWPTestData/EmulatorData""",Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:04,0.005s,PASSED
numOfRows = findTestData(dataFile).getRowNumbers(),Edge Chromium 128,,,28-08-2024 19:07:04,28-08-2024 19:07:05,1.041s,PASSED
